park_states,park_parkCode,park_designation,park_fullName,park_url,park_name,id,name
HI,hale,National Park,Haleakalā National Park,https://www.nps.gov/hale/index.htm,Haleakalā,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
MD,hamp,National Historic Site,Hampton National Historic Site,https://www.nps.gov/hamp/index.htm,Hampton,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
MD,hatu,National Historical Park,Harriet Tubman Underground Railroad National Historical Park,https://www.nps.gov/hatu/index.htm,Harriet Tubman Underground Railroad,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
HI,havo,National Park,Hawaiʻi Volcanoes National Park,https://www.nps.gov/havo/index.htm,Hawaiʻi Volcanoes,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
IA,heho,National Historic Site,Herbert Hoover National Historic Site,https://www.nps.gov/heho/index.htm,Herbert Hoover,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
AL,hobe,National Military Park,Horseshoe Bend National Military Park,https://www.nps.gov/hobe/index.htm,Horseshoe Bend,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
OH,hocu,National Historical Park,Hopewell Culture National Historical Park,https://www.nps.gov/hocu/index.htm,Hopewell Culture,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
NY,hofr,National Historic Site,Home Of Franklin D Roosevelt National Historic Site,https://www.nps.gov/hofr/index.htm,Home Of Franklin D Roosevelt,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
PA,hofu,National Historic Site,Hopewell Furnace National Historic Site,https://www.nps.gov/hofu/index.htm,Hopewell Furnace,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
NE,home,National Historical Park,Homestead National Historical Park,https://www.nps.gov/home/index.htm,Homestead,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
AR,hosp,National Park,Hot Springs National Park,https://www.nps.gov/hosp/index.htm,Hot Springs,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
MO,hstr,National Historic Site,Harry S Truman National Historic Site,https://www.nps.gov/hstr/index.htm,Harry S Truman,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
AZ,hutr,National Historic Site,Hubbell Trading Post National Historic Site,https://www.nps.gov/hutr/index.htm,Hubbell Trading Post,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
"WA,OR,ID,MT",iafl,National Geologic Trail,Ice Age Floods National Geologic Trail,https://www.nps.gov/iafl/index.htm,Ice Age Floods,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
PA,inde,National Historical Park,Independence National Historical Park,https://www.nps.gov/inde/index.htm,Independence,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
IN,indu,National Park,Indiana Dunes National Park,https://www.nps.gov/indu/index.htm,Indiana Dunes,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
MI,isro,National Park,Isle Royale National Park,https://www.nps.gov/isro/index.htm,Isle Royale,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
OH,jaga,National Historic Site,James A Garfield National Historic Site,https://www.nps.gov/jaga/index.htm,James A Garfield,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
VA,jame,Part of Colonial National Historical Park,Historic Jamestowne Part of Colonial National Historical Park,https://www.nps.gov/jame/index.htm,Historic Jamestowne,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
LA,jazz,National Historical Park,New Orleans Jazz National Historical Park,https://www.nps.gov/jazz/index.htm,New Orleans Jazz,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
SD,jeca,National Monument,Jewel Cave National Monument,https://www.nps.gov/jeca/index.htm,Jewel Cave,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
MO,jeff,National Park,Gateway Arch National Park,https://www.nps.gov/jeff/index.htm,Gateway Arch,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
LA,jela,National Historical Park and Preserve,Jean Lafitte National Historical Park and Preserve,https://www.nps.gov/jela/index.htm,Jean Lafitte,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
